sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
4,Longleng,1021.28,334.07,141.57,6.32,Safe
5,Mokokchung,4294.87,775.47,1201.67,19.03,Safe
6,Mon,3564.12,286.4,773.54,6.14,Safe
7,Peren,3354.89,1695.14,917.28,63,Safe
8,Phek,539.15,1141.93,163.85,16.33,Safe
9,Tuensang,789.97,1871.5,220.51,0.26,Safe
10,Wokha,5560,1615.41,1400.05,100.69,Over Exploited
11,Zunheboto,701.11,813.02,196.18,44.74,Safe
1,2,3,4,5,6,Safe
1,Dimapur,19261.31,1409.54,2358.73,192.64,Over Exploited
2,Kiphire,127.82,327.36,56.57,0.27,Safe
3,Kohima,2073.08,1838.23,340.8,101.54,Over Exploited
4,Longleng,1021.28,334.07,141.57,6.32,Safe
5,Mokokchung,4294.87,775.47,1201.67,19.03,Safe
6,Mon,3564.12,286.4,773.54,6.14,Safe
7,Peren,3354.89,1695.14,917.28,63,Safe
8,Phek,539.15,1141.93,163.85,16.33,Safe
9,Tuensang,789.97,1871.5,220.51,0.26,Safe
10,Wokha,5560,1615.41,1400.05,100.69,Over Exploited
11,Zunheboto,701.11,813.02,196.18,44.74,Safe
1,2,3,4,5,6,Safe
1,Angul,39306.49,9428.98,3946.79,6174.76,Over Exploited
2,Balasore,56961.95,35274.32,17271.26,32703.03,Over Exploited
3,Bargarh,39800.56,12626.96,136.35,13026.9,Over Exploited
4,Bhadrak,17822.9,16685.67,4479.06,20362.28,Over Exploited
5,Bolangir,44737.51,7473.8,898.79,8524.16,Over Exploited
6,Boudh,17978.32,3152.45,449.44,4404.64,Over Exploited
7,Cuttack,39038.69,16296.94,9049.06,11773.77,Over Exploited
8,Deogarh,20064.53,5606.48,1223.73,6389.56,Over Exploited
9,Dhenkanal,28979.11,9984.76,5442.13,3940.75,Over Exploited
10,Gajapati,12764.32,2087.96,4946.35,2430.25,Over Exploited
11,Ganjam,43637.47,27877.81,17236.17,15607.33,Over Exploited
12,Jagatsinghpur,16310.46,16871.22,4390.92,12384.88,Over Exploited
13,Jajpur,31129.96,10415.8,7395.45,7629.05,Over Exploited
14,Jharsuguda,17163.01,1590.9,221.62,2075.73,Over Exploited
15,Kalahandi,46160.65,10519.78,1926.12,9693.15,Over Exploited
16,Kandhamal,26808.66,2425.98,4436.19,3299.1,Over Exploited
17,Kendrapara,6940.43,4869.29,1847.1,4404.28,Over Exploited
18,Keonjhar,55455.51,13972.21,11495.85,11155.31,Over Exploited
19,Khurda,22929.9,8394.75,6000.27,9669.5,Over Exploited
20,Koraput,41148.22,4365.83,4155.74,6392.54,Over Exploited
21,Malkangiri,26392.89,4552.65,1152.11,4506.85,Over Exploited
22,Mayurbhanj,84354.55,20211.68,18391.17,25875.78,Over Exploited
23,Nabarangapur,48025.19,3462.42,3944.31,4384.63,Over Exploited
24,Nayagarh,21378.9,5110.17,5223.7,6936.7,Over Exploited
25,Nuapada,23061,5113.91,706.75,4883.28,Over Exploited
26,Puri,29061.82,11313.07,7134.83,17319.17,Over Exploited
27,Rayagada,24168.27,3877.98,4565.28,3159.54,Over Exploited
28,Sambalpur,46330.38,7527.34,311.16,12181.73,Over Exploited
29,Subarnapur,19168.01,3723.19,155.55,4786.13,Over Exploited
30,Sundargarh,70601.64,8869.02,2487.11,7858.15,Over Exploited
1,2,3,4,5,6,Safe
1,Angul,39306.49,9428.98,3946.79,6174.76,Over Exploited
2,Balasore,56961.95,35274.32,17271.26,32703.03,Over Exploited
3,Bargarh,39800.56,12626.96,136.35,13026.9,Over Exploited
4,Bhadrak,17822.9,16685.67,4479.06,20362.28,Over Exploited
5,Bolangir,44737.51,7473.8,898.79,8524.16,Over Exploited
6,Boudh,17978.32,3152.45,449.44,4404.64,Over Exploited
7,Cuttack,39038.69,16296.94,9049.06,11773.77,Over Exploited
8,Deogarh,20064.53,5606.48,1223.73,6389.56,Over Exploited
9,Dhenkanal,28979.11,9984.76,5442.13,3940.75,Over Exploited
10,Gajapati,12764.32,2087.96,4946.35,2430.25,Over Exploited
11,Ganjam,43637.47,27877.81,17236.17,15607.33,Over Exploited
12,Jagatsinghpur,16310.46,16871.22,4390.92,12384.88,Over Exploited
13,Jajpur,31129.96,10415.8,7395.45,7629.05,Over Exploited
14,Jharsuguda,17163.01,1590.9,221.62,2075.73,Over Exploited
15,Kalahandi,46160.65,10519.78,1926.12,9693.15,Over Exploited
16,Kandhamal,26808.66,2425.98,4436.19,3299.1,Over Exploited
17,Kendrapara,6940.43,4869.29,1847.1,4404.28,Over Exploited
18,Keonjhar,55455.51,13972.21,11495.85,11155.31,Over Exploited
19,Khurda,22929.9,8394.75,6000.27,9669.5,Over Exploited
20,Koraput,41148.22,4365.83,4155.74,6392.54,Over Exploited
21,Malkangiri,26392.89,4552.65,1152.11,4506.85,Over Exploited
22,Mayurbhanj,84354.55,20211.68,18391.17,25875.78,Over Exploited
23,Nabarangapur,48025.19,3462.42,3944.31,4384.63,Over Exploited
24,Nayagarh,21378.9,5110.17,5223.7,6936.7,Over Exploited
25,Nuapada,23061,5113.91,706.75,4883.28,Over Exploited
26,Puri,29061.82,11313.07,7134.83,17319.17,Over Exploited
27,Rayagada,24168.27,3877.98,4565.28,3159.54,Over Exploited
28,Sambalpur,46330.38,7527.34,311.16,12181.73,Over Exploited
29,Subarnapur,19168.01,3723.19,155.55,4786.13,Over Exploited
30,Sundargarh,70601.64,8869.02,2487.11,7858.15,Over Exploited
1,2,3,4,5,6,Safe
1,Amritsar,29515.8,82671.79,5345.17,30811.4,Over Exploited
2,Barnala,13419.43,25795.05,1267.8,16138.89,Over Exploited
3,Bathinda,17708.15,64376.11,3125.99,35907.55,Over Exploited
4,Faridkot,9819.89,35685.13,1160.18,16942.02,Over Exploited
5,Fatehgarh Sahib,14525.56,14446.92,1670.85,8118.72,Over Exploited
6,Fazilka,11232.43,45176.88,1490.88,23280.99,Over Exploited
7,Firozpur,18259.72,82916.59,2465.89,41525.3,Over Exploited
8,Gurdaspur,36564.83,89272.74,6344.47,35669.86,Over Exploited
9,Hoshiarpur,47326.84,24745.2,7725.46,9448.12,Over Exploited
10,Jalandhar,28442.13,31371.53,4285.85,15714.64,Over Exploited
11,Kapurthala,18016.2,36758.33,2772.39,10728.06,Over Exploited
12,Ludhiana,35403.16,77423.57,4762.96,37466.22,Over Exploited
13,Malerkotla,7710.33,8284.44,1054.35,4534.83,Over Exploited
14,Mansa,10990.24,33984.15,1517.12,22057.15,Over Exploited
15,Moga,17930.84,43832.59,2427.44,18625.44,Over Exploited
16,Muktsar,11492.71,50959.42,2041.74,33781.89,Over Exploited
17,Pathankot,12080.52,21288.63,2901.77,12100.02,Over Exploited
18,Patiala,38529.91,30108.22,5216.18,18455.88,Over Exploited
19,Rupnagar,20708.53,12058.55,3087.2,7503.87,Over Exploited
20,Sas Nagar,14438.14,5045.03,1982.84,2679.54,Over Exploited
21,Sbs Nagar,16174.5,27596.8,2216.48,8859.49,Over Exploited
22,Sangrur,25945.63,28667.73,3091.36,12990.88,Over Exploited
23,Tarn Taran,22615.53,28124.09,3901,13430.19,Over Exploited
1,2,3,4,5,6,Safe
1,Amritsar,29515.8,82671.79,5345.17,30811.4,Over Exploited
2,Barnala,13419.43,25795.05,1267.8,16138.89,Over Exploited
3,Bathinda,17708.15,64376.11,3125.99,35907.55,Over Exploited
4,Faridkot,9819.89,35685.13,1160.18,16942.02,Over Exploited
5,Fatehgarh Sahib,14525.56,14446.92,1670.85,8118.72,Over Exploited
6,Fazilka,11232.43,45176.88,1490.88,23280.99,Over Exploited
7,Firozpur,18259.72,82916.59,2465.89,41525.3,Over Exploited
8,Gurdaspur,36564.83,89272.74,6344.47,35669.86,Over Exploited
9,Hoshiarpur,47326.84,24745.2,7725.46,9448.12,Over Exploited
10,Jalandhar,28442.13,31371.53,4285.85,15714.64,Over Exploited
11,Kapurthala,18016.2,36758.33,2772.39,10728.06,Over Exploited
12,Ludhiana,35403.16,77423.57,4762.96,37466.22,Over Exploited
13,Malerkotla,7710.33,8284.44,1054.35,4534.83,Over Exploited
14,Mansa,10990.24,33984.15,1517.12,22057.15,Over Exploited
15,Moga,17930.84,43832.59,2427.44,18625.44,Over Exploited
16,Muktsar,11492.71,50959.42,2041.74,33781.89,Over Exploited
17,Pathankot,12080.52,21288.63,2901.77,12100.02,Over Exploited
18,Patiala,38529.91,30108.22,5216.18,18455.88,Over Exploited
19,Rupnagar,20708.53,12058.55,3087.2,7503.87,Over Exploited
20,Sas Nagar,14438.14,5045.03,1982.84,2679.54,Over Exploited
21,Sbs Nagar,16174.5,27596.8,2216.48,8859.49,Over Exploited
22,Sangrur,25945.63,28667.73,3091.36,12990.88,Over Exploited
23,Tarn Taran,22615.53,28124.09,3901,13430.19,Over Exploited
1,2,3,4,5,6,Safe
1,Ajmer,28701.14,2007.64,139.73,7184.15,Over Exploited
2,Alwar,68419.63,922.44,2737.71,5180.36,Over Exploited
3,Banswara,10215.56,276.91,0,12679.72,Over Exploited
4,Baran,39601.43,5274.14,0,19860.34,Over Exploited
5,Barmer,36380.39,675.88,61.67,2050.01,Over Exploited
6,Bharatpur,31725.17,1879.57,863.03,5507.36,Over Exploited
7,Bhilwara,31497.34,47.81,0,13901.04,Over Exploited
8,Bikaner,24934.37,713.47,3768.26,1811.24,Over Exploited
9,Bundi,18779.31,2610.2,0,13268.1,Over Exploited
10,Chittaurgarh,23337.91,1695.18,0,9712.24,Over Exploited
11,Churu,14214.48,25.87,1728.5,518.4,Over Exploited
12,Dausa,23601.22,431.71,392.24,2503.4,Over Exploited
13,Dhaulpur,20373,1356.19,1062.51,5316.71,Over Exploited
14,Dungarpur,9052.51,1173.88,0,12232.67,Over Exploited
15,Ganganagar,4874.65,16256.49,1043.77,25978.02,Over Exploited
16,Hanumangarh,5562.87,7924.31,1016.12,8323.2,Over Exploited
17,Jaipur,64291.54,1920.08,827.32,7598.77,Over Exploited
18,Jaisalmer,8430.91,380.4,672.06,1118.55,Over Exploited
19,Jalor,39223.97,1201.36,0,8085.03,Over Exploited
20,Jhalawar,39875.56,2827.4,0,12815.92,Over Exploited
21,Jhunjhunu,21237.43,294.28,1648.99,1471.34,Over Exploited
22,Jodhpur,36034.41,1042.53,1225.94,3058.83,Over Exploited
23,Karauli,28210.86,453.93,394.64,5045.25,Over Exploited
24,Kota,28869.94,3201.96,0,19795.97,Over Exploited
25,Nagaur,57435.4,1112.95,2064.48,3441.21,Over Exploited
26,Pali,28643.5,617,1.5,4796.94,Over Exploited
27,Pratapgarh,15439.49,171.37,0,7381.03,Over Exploited
28,Rajsamand,8755.96,220.54,35.1,2814.1,Over Exploited
29,Sawai Madhopur,31883.85,2038.52,39.78,10562.54,Over Exploited
30,Sikar,31587.39,1795.59,1985.15,2057.58,Over Exploited
31,Sirohi,26307.47,172.5,0,4660.4,Over Exploited
32,Tonk,29169.51,3862.26,14.75,11237.79,Over Exploited
33,Udaipur,21537.52,548.46,3.52,10529.48,Over Exploited
1,2,3,4,5,6,Safe
1,Ajmer,28701.14,2007.64,139.73,7184.15,Over Exploited
2,Alwar,68419.63,922.44,2737.71,5180.36,Over Exploited
3,Banswara,10215.56,276.91,0,12679.72,Over Exploited
4,Baran,39601.43,5274.14,0,19860.34,Over Exploited
5,Barmer,36380.39,675.88,61.67,2050.01,Over Exploited
6,Bharatpur,31725.17,1879.57,863.03,5507.36,Over Exploited
7,Bhilwara,31497.34,47.81,0,13901.04,Over Exploited
8,Bikaner,24934.37,713.47,3768.26,1811.24,Over Exploited
9,Bundi,18779.31,2610.2,0,13268.1,Over Exploited
10,Chittaurgarh,23337.91,1695.18,0,9712.24,Over Exploited
11,Churu,14214.48,25.87,1728.5,518.4,Over Exploited
12,Dausa,23601.22,431.71,392.24,2503.4,Over Exploited
13,Dhaulpur,20373,1356.19,1062.51,5316.71,Over Exploited
14,Dungarpur,9052.51,1173.88,0,12232.67,Over Exploited
15,Ganganagar,4874.65,16256.49,1043.77,25978.02,Over Exploited
16,Hanumangarh,5562.87,7924.31,1016.12,8323.2,Over Exploited
17,Jaipur,64291.54,1920.08,827.32,7598.77,Over Exploited
18,Jaisalmer,8430.91,380.4,672.06,1118.55,Over Exploited
19,Jalor,39223.97,1201.36,0,8085.03,Over Exploited
20,Jhalawar,39875.56,2827.4,0,12815.92,Over Exploited
21,Jhunjhunu,21237.43,294.28,1648.99,1471.34,Over Exploited
22,Jodhpur,36034.41,1042.53,1225.94,3058.83,Over Exploited
23,Karauli,28210.86,453.93,394.64,5045.25,Over Exploited
24,Kota,28869.94,3201.96,0,19795.97,Over Exploited
25,Nagaur,57435.4,1112.95,2064.48,3441.21,Over Exploited
26,Pali,28643.5,617,1.5,4796.94,Over Exploited
27,Pratapgarh,15439.49,171.37,0,7381.03,Over Exploited
28,Rajsamand,8755.96,220.54,35.1,2814.1,Over Exploited
29,Sawai Madhopur,31883.85,2038.52,39.78,10562.54,Over Exploited
30,Sikar,31587.39,1795.59,1985.15,2057.58,Over Exploited
31,Sirohi,26307.47,172.5,0,4660.4,Over Exploited
32,Tonk,29169.51,3862.26,14.75,11237.79,Over Exploited
33,Udaipur,21537.52,548.46,3.52,10529.48,Over Exploited
1,2,3,4,5,6,Safe
1,Ariyalur,17210.13,18042.90,529.40,1938.82,Over Exploited
2,Chengalpattu,18796.31,40567.26,5.33,3419.08,Over Exploited
3,Chennai,8083.42,1276.81,0.00,857.66,Over Exploited
4,Coimbatore,21677.03,27401.17,2546.08,8759.61,Over Exploited
5,Cuddalore,38344.96,42474.47,19177.00,11828.45,Over Exploited
6,Dharmapuri,21538.17,10569.37,2744.22,12959.21,Over Exploited
7,Dindigul,24410.90,24598.03,2890.51,10266.73,Over Exploited
8,Erode,14311.16,46688.32,3360.73,9245.65,Over Exploited
9,Kallakurichchi,27040.34,28226.82,957.28,10907.10,Over Exploited
10,Kancheepuram,16343.90,34743.88,0.00,6832.73,Over Exploited
11,Kanniyakumari,7205.09,19927.85,1583.91,4216.68,Over Exploited
12,Karur,11838.73,18240.32,1543.66,2393.28,Over Exploited
13,Krishnagiri,17062.06,16330.06,2653.56,12357.14,Over Exploited
14,Madurai,22674.30,36893.58,2970.90,16166.92,Over Exploited
15,Mayiladuthurai,6974.64,31576.70,128.16,805.84,Over Exploited
16,Nagapattinam,0.00,0.00,0.00,0.00,Safe
17,Namakkal,21286.89,26608.88,5034.78,6850.17,Over Exploited
18,Perambalur,9067.19,12416.20,766.27,3071.48,Over Exploited
19,Pudukkottai,34481.46,53460.42,4476.72,4527.29,Over Exploited
20,Ramanathapuram,2891.90,9080.72,30558.74,6102.45,Over Exploited
21,Ranipet,14519.93,7221.58,186.01,6413.49,Over Exploited
22,Salem,19180.42,26896.35,1722.66,5196.36,Over Exploited
23,Sivagangai,27427.23,34507.81,2800.34,1303.27,Over Exploited
24,Tenkasi,10874.16,38307.56,2681.82,6195.87,Over Exploited
25,Thanjavur,60999.97,33798.42,4218.78,5745.08,Over Exploited
26,The Nilgiris,12873.36,359.63,1350.65,157.66,Over Exploited
27,Theni,7079.35,16915.16,3875.36,3536.86,Over Exploited
28,Thiruvarur,7406.89,15146.72,372.59,766.34,Over Exploited
29,Thoothukudi,20368.15,33087.00,3130.67,12143.36,Over Exploited
30,Tiruchirappalli,18793.81,52296.67,1334.26,8061.50,Over Exploited
31,Tirunelveli,32066.25,35001.03,8302.60,8309.02,Over Exploited
32,Tirupathur,5782.61,2037.85,372.78,1843.91,Over Exploited
33,Tiruppur,14146.09,31482.15,3526.64,12854.86,Over Exploited
34,Tiruvallur,54634.50,21864.32,0.00,9768.65,Over Exploited
35,Tiruvannamalai,28596.19,67544.24,401.79,25057.49,Over Exploited
36,Vellore,7479.24,4606.61,281.98,4631.89,Over Exploited
37,Villupuram,41734.19,47839.63,73.03,13447.78,Over Exploited
38,Virudhunagar,16739.31,49971.26,3534.29,12343.59,Over Exploited
1,2,3,4,5,6,Safe
1,Ariyalur,17210.13,18042.90,529.40,1938.82,Over Exploited
2,Chengalpattu,18796.31,40567.26,5.33,3419.08,Over Exploited
3,Chennai,8083.42,1276.81,0.00,857.66,Over Exploited
4,Coimbatore,21677.03,27401.17,2546.08,8759.61,Over Exploited
5,Cuddalore,38344.96,42474.47,19177.00,11828.45,Over Exploited
6,Dharmapuri,21538.17,10569.37,2744.22,12959.21,Over Exploited
7,Dindigul,24410.90,24598.03,2890.51,10266.73,Over Exploited
8,Erode,14311.16,46688.32,3360.73,9245.65,Over Exploited
9,Kallakurichchi,27040.34,28226.82,957.28,10907.10,Over Exploited
10,Kancheepuram,16343.90,34743.88,0.00,6832.73,Over Exploited
11,Kanniyakumari,7205.09,19927.85,1583.91,4216.68,Over Exploited
12,Karur,11838.73,18240.32,1543.66,2393.28,Over Exploited
13,Krishnagiri,17062.06,16330.06,2653.56,12357.14,Over Exploited
14,Madurai,22674.30,36893.58,2970.90,16166.92,Over Exploited
15,Mayiladuthurai,6974.64,31576.70,128.16,805.84,Over Exploited
16,Nagapattinam,0.00,0.00,0.00,0.00,Safe
17,Namakkal,21286.89,26608.88,5034.78,6850.17,Over Exploited
18,Perambalur,9067.19,12416.20,766.27,3071.48,Over Exploited
19,Pudukkottai,34481.46,53460.42,4476.72,4527.29,Over Exploited
20,Ramanathapuram,2891.90,9080.72,30558.74,6102.45,Over Exploited
21,Ranipet,14519.93,7221.58,186.01,6413.49,Over Exploited
22,Salem,19180.42,26896.35,1722.66,5196.36,Over Exploited
23,Sivagangai,27427.23,34507.81,2800.34,1303.27,Over Exploited
24,Tenkasi,10874.16,38307.56,2681.82,6195.87,Over Exploited
25,Thanjavur,60999.97,33798.42,4218.78,5745.08,Over Exploited
26,The Nilgiris,12873.36,359.63,1350.65,157.66,Over Exploited
27,Theni,7079.35,16915.16,3875.36,3536.86,Over Exploited
28,Thiruvarur,7406.89,15146.72,372.59,766.34,Over Exploited
29,Thoothukudi,20368.15,33087.00,3130.67,12143.36,Over Exploited
30,Tiruchirappalli,18793.81,52296.67,1334.26,8061.50,Over Exploited
31,Tirunelveli,32066.25,35001.03,8302.60,8309.02,Over Exploited
32,Tirupathur,5782.61,2037.85,372.78,1843.91,Over Exploited
33,Tiruppur,14146.09,31482.15,3526.64,12854.86,Over Exploited
34,Tiruvallur,54634.50,21864.32,0.00,9768.65,Over Exploited
35,Tiruvannamalai,28596.19,67544.24,401.79,25057.49,Over Exploited
36,Vellore,7479.24,4606.61,281.98,4631.89,Over Exploited
37,Villupuram,41734.19,47839.63,73.03,13447.78,Over Exploited
38,Virudhunagar,16739.31,49971.26,3534.29,12343.59,Over Exploited
1,2,3,4,5,6,Safe
1,Adilabad,26523.48,16847.06,0.00,17686.14,Over Exploited
2,Bhadradri Kothagudem,56543.34,29755.14,8389.74,14476.68,Over Exploited
3,Hanumakonda,11740.45,19498.35,1438.71,20184.80,Over Exploited
4,Hyderabad,1112.23,1695.20,244.60,3361.97,Over Exploited
5,Jagtial,17751.86,19252.02,1999.56,17989.08,Over Exploited
6,Jangaon,12364.96,14080.85,2415.54,9397.54,Over Exploited
7,Jayashankar Bhupalapally,19391.47,9522.93,1197.89,14132.72,Over Exploited
8,Jogulamba Gadwal,9383.46,22241.52,2588.33,5482.67,Over Exploited
9,Kamareddy,28944.02,18178.58,3043.34,18158.39,Over Exploited
10,Karimnagar,14223.02,38855.54,1738.79,43952.79,Over Exploited
11,Khammam,30102.49,52417.75,6290.39,14760.48,Over Exploited
12,Komarambheem Asifabad,33482.93,18381.10,0.00,14254.48,Over Exploited
13,Mahabubabad,25824.33,14626.84,3280.83,18666.41,Over Exploited
14,Mahabubnagar,11867.31,8132.20,3379.82,11395.14,Over Exploited
15,Mancherial,34109.21,28225.41,0.00,33691.77,Over Exploited
16,Medak,17026.44,13172.62,2098.26,16092.02,Over Exploited
17,Medchal Malkajgiri,4529.27,2786.86,913.26,2254.50,Over Exploited
18,Mulug,31270.68,13104.69,1924.11,13166.67,Over Exploited
19,Nagarkurnool,24519.17,29005.87,7476.06,19896.59,Over Exploited
20,Nalgonda,32084.11,45687.11,9350.96,34059.15,Over Exploited
21,Narayanpet,9226.20,9709.04,2037.52,7841.44,Over Exploited
22,Nirmal,26000.70,21932.33,1423.23,21256.36,Over Exploited
23,Nizamabad,34184.41,26667.46,2391.14,40771.54,Over Exploited
24,Peddapalle,15376.02,19157.13,1205.70,13755.60,Over Exploited
25,Rajanna Siricilla,17789.85,15351.26,2.25,17532.57,Over Exploited
26,Rangareddy,23804.12,15242.54,6560.92,12114.10,Over Exploited
27,Sangareddy,25665.31,5018.76,4665.93,6035.53,Over Exploited
28,Siddipet,20238.35,21279.48,3490.35,21485.69,Over Exploited
29,Suryapet,19246.80,19786.79,3822.60,19805.20,Over Exploited
30,Vikarabad,19589.29,13205.62,3598.12,16586.54,Over Exploited
31,Wanaparthy,3553.32,27685.56,727.99,32244.64,Over Exploited
32,Warangal,11305.62,23003.55,1729.48,14710.02,Over Exploited
33,Yadadri Bhuvanagiri,18930.10,29104.42,4576.76,28766.58,Over Exploited
1,2,3,4,5,6,Safe
1,Adilabad,26523.48,16847.06,0.00,17686.14,Over Exploited
2,Bhadradri Kothagudem,56543.34,29755.14,8389.74,14476.68,Over Exploited
3,Hanumakonda,11740.45,19498.35,1438.71,20184.80,Over Exploited
4,Hyderabad,1112.23,1695.20,244.60,3361.97,Over Exploited
5,Jagtial,17751.86,19252.02,1999.56,17989.08,Over Exploited
6,Jangaon,12364.96,14080.85,2415.54,9397.54,Over Exploited
7,Jayashankar Bhupalapally,19391.47,9522.93,1197.89,14132.72,Over Exploited
8,Jogulamba Gadwal,9383.46,22241.52,2588.33,5482.67,Over Exploited
9,Kamareddy,28944.02,18178.58,3043.34,18158.39,Over Exploited
10,Karimnagar,14223.02,38855.54,1738.79,43952.79,Over Exploited
11,Khammam,30102.49,52417.75,6290.39,14760.48,Over Exploited
12,Komarambheem Asifabad,33482.93,18381.10,0.00,14254.48,Over Exploited
13,Mahabubabad,25824.33,14626.84,3280.83,18666.41,Over Exploited
14,Mahabubnagar,11867.31,8132.20,3379.82,11395.14,Over Exploited
15,Mancherial,34109.21,28225.41,0.00,33691.77,Over Exploited
16,Medak,17026.44,13172.62,2098.26,16092.02,Over Exploited
17,Medchal Malkajgiri,4529.27,2786.86,913.26,2254.50,Over Exploited
18,Mulug,31270.68,13104.69,1924.11,13166.67,Over Exploited
19,Nagarkurnool,24519.17,29005.87,7476.06,19896.59,Over Exploited
20,Nalgonda,32084.11,45687.11,9350.96,34059.15,Over Exploited
21,Narayanpet,9226.20,9709.04,2037.52,7841.44,Over Exploited
22,Nirmal,26000.70,21932.33,1423.23,21256.36,Over Exploited
23,Nizamabad,34184.41,26667.46,2391.14,40771.54,Over Exploited
24,Peddapalle,15376.02,19157.13,1205.70,13755.60,Over Exploited
25,Rajanna Siricilla,17789.85,15351.26,2.25,17532.57,Over Exploited
26,Rangareddy,23804.12,15242.54,6560.92,12114.10,Over Exploited
27,Sangareddy,25665.31,5018.76,4665.93,6035.53,Over Exploited
28,Siddipet,20238.35,21279.48,3490.35,21485.69,Over Exploited
29,Suryapet,19246.80,19786.79,3822.60,19805.20,Over Exploited
30,Vikarabad,19589.29,13205.62,3598.12,16586.54,Over Exploited
31,Wanaparthy,3553.32,27685.56,727.99,32244.64,Over Exploited
32,Warangal,11305.62,23003.55,1729.48,14710.02,Over Exploited
33,Yadadri Bhuvanagiri,18930.10,29104.42,4576.76,28766.58,Over Exploited
1,2,3,4,5,6,Safe
1,Dhalai,17702.07,941.03,3503.23,565.64,Over Exploited
2,Gomati,16952.74,3321.95,2993.49,603.54,Over Exploited
3,Khowai,7962.58,1790.19,1888.56,596.38,Over Exploited
4,North Tripura,10031.21,583.28,2402.57,704.7,Over Exploited
5,Sepahijala,12196.63,3032.8,2552.3,1109.7,Over Exploited
6,South Tripura,18672.52,2948.1,2776.3,1335.74,Over Exploited
7,Unakoti,7425.2,1119.49,1470.76,432.73,Over Exploited
8,West Tripura,11691.33,2313.76,2290.86,1379.91,Over Exploited
1,2,3,4,5,6,Safe
1,Dhalai,17702.07,941.03,3503.23,565.64,Over Exploited
2,Gomati,16952.74,3321.95,2993.49,603.54,Over Exploited
3,Khowai,7962.58,1790.19,1888.56,596.38,Over Exploited
4,North Tripura,10031.21,583.28,2402.57,704.7,Over Exploited
5,Sepahijala,12196.63,3032.8,2552.3,1109.7,Over Exploited
6,South Tripura,18672.52,2948.1,2776.3,1335.74,Over Exploited
7,Unakoti,7425.2,1119.49,1470.76,432.73,Over Exploited
8,West Tripura,11691.33,2313.76,2290.86,1379.91,Over Exploited
1,2,3,4,5,6,Safe
1,Agra,37767.38,15917.84,547.66,34898.5,Over Exploited
2,Aligarh,47094.18,16413.02,1607.99,34112.99,Over Exploited
3,Ambedkar Nagar,52738.03,11897.75,392.18,15515.15,Over Exploited
4,Amethi,40883,20985.23,891.9,27011.16,Over Exploited
5,Amroha,39389.29,5775.79,1075.17,9287.74,Over Exploited
6,Auraiya,27295.09,13148.75,286.71,27395.98,Over Exploited
7,Ayodhya,50208.72,15496.67,447.72,29116.43,Over Exploited
8,Azamgarh,77689.97,24668.31,1265.19,36694.2,Over Exploited
9,Bagpat,16395.8,7281.47,945.23,11750.52,Over Exploited
10,Bahraich,82931.76,23687.5,2945.77,39374.11,Over Exploited
11,Ballia,54838.75,15108.15,1799.62,23690.37,Over Exploited
12,Balrampur,60833.88,13722.98,1398.21,22084.51,Over Exploited
13,Banda,49916.03,8739.76,519.8,14125.53,Over Exploited
14,Barabanki,77451.87,45634.27,1121.58,86298.92,Over Exploited
15,Bareilly,72075.07,20247.69,1401.51,31304.69,Over Exploited
16,Basti,67278.11,4154.43,662.66,11358.61,Over Exploited
17,Bijnor,94119.36,18363.94,3865.7,32412.9,Over Exploited
18,Budaun,64031.17,6336.39,1631.21,10432.41,Over Exploited
19,Bulandshahar,43483.14,44703.01,1160.71,68698.67,Over Exploited
20,Chandauli,30828.51,16308.56,279.63,9387.52,Over Exploited
21,Chitrakoot,31991.6,4885.16,305.36,6690.62,Over Exploited
22,Deoria,50878.85,43733.69,1580.82,50969.75,Over Exploited
23,Etah,30538.68,16741.4,530.17,38759.43,Over Exploited
24,Etawah,27126.28,15245.14,313.59,28572.34,Over Exploited
25,Farrukhabad,30385.04,4011.6,492.27,12175.69,Over Exploited
26,Fatehpur,60433.94,22384.96,276.01,33490.02,Over Exploited
27,Firozabad,30861.37,16267.82,449.69,32977.57,Over Exploited
28,G.B.Nagar,13548.84,14044.77,401.64,21631.4,Over Exploited
29,Ghaziabad,15558.03,10401.85,539.38,16322.87,Over Exploited
30,Ghazipur,58581.69,17562.94,445.32,28826.92,Over Exploited
31,Gonda,77473.74,17055.08,1186.83,26537.04,Over Exploited
32,Gorakhpur,72545.94,67327.45,2046.4,32058.82,Over Exploited
33,Hamirpur,32695.52,5955.91,84.22,6918.95,Over Exploited
34,Hapur,17850.63,12541.33,647.33,19242.5,Over Exploited
35,Hardoi,96045.47,29847.31,2042.14,49922.89,Over Exploited
36,Hathras,22377.11,16078.08,442.05,33804.59,Over Exploited
37,Jalaun,64813.61,11745.63,513.29,26664.18,Over Exploited
38,Jaunpur,68918.56,22980.69,214.94,38979.32,Over Exploited
39,Jhansi,32707.65,17626.85,0,23823.38,Over Exploited
40,Kannauj,24284.91,10621.87,675.64,23960.88,Over Exploited
41,Kanpur Dehat,42732.68,12437.17,684.58,25488.88,Over Exploited
42,Kanpur Nagar,42662.14,14131.02,918.52,30144.79,Over Exploited
43,Kasganj,26858.88,13187.92,557.66,32695.34,Over Exploited
44,Kaushambi,31495.86,7629.91,271.18,12010.7,Over Exploited
45,Kushi Nagar,47036,69834.84,2263.39,54650.76,Over Exploited
