sno,state,annual_recharge,extractable_resource,annual_extraction,stage_of_development,category
17,Parvathipuram Manyam,29763.31,35032.83,3586.72,23061.67,Over Exploited
18,Prakasam,63974.15,19744.85,1072.98,13544.20,Over Exploited
19,Sri Potti Sriramulu Nellore,68345.39,36991.28,20510.69,71127.23,Over Exploited
20,Sri Sathya Sai,43077.78,31974.68,595.26,44246.68,Over Exploited
21,Srikakulam,34587.38,66648.48,2623.08,28333.77,Over Exploited
22,Tirupati,81366.63,27763.10,87.94,52318.38,Over Exploited
23,Visakhapatnam,7995.13,3262.26,285.34,1078.97,Over Exploited
24,Vizianagaram,24997.08,66545.39,2538.33,48662.74,Over Exploited
25,West Godavari,12011.91,21549.41,235.36,22132.19,Over Exploited
26,Y.S.R Kadapa,57104.54,20117.22,549.87,29473.80,Over Exploited
1,2,3,4,5,6,Safe
1,Alluri Sitharama Raju,43956.31,102516.48,2860.84,8890.60,Over Exploited
2,Anakapalli,22443.69,38195.76,14423.44,6889.74,Over Exploited
3,Ananthapuramu,40986.63,44150.14,1323.64,35512.65,Over Exploited
4,Annamayya,44599.19,19166.03,2836.15,19968.94,Over Exploited
5,Bapatla,23318.20,33572.17,1322.80,12065.45,Over Exploited
6,Chittoor,55198.12,15130.71,1246.99,18849.65,Over Exploited
7,East Godavari,25369.55,41713.88,2604.84,37601.73,Over Exploited
8,Eluru,50680.82,88891.13,1620.74,41619.91,Over Exploited
9,Guntur,12414.87,26259.86,2064.53,13762.42,Over Exploited
10,Kakinada,16664.61,59653.79,3486.88,32788.46,Over Exploited
11,Konaseema,15932.71,48720.13,2077.68,45519.00,Over Exploited
12,Krishna,18162.93,90343.85,10846.76,47391.01,Over Exploited
13,Kurnool,38342.94,17638.70,566.17,10907.07,Over Exploited
14,Ntr,20780.78,28090.65,1227.81,14159.92,Over Exploited
15,Nandyal,22651.71,40388.65,66.02,19114.07,Over Exploited
16,Palnadu,25660.06,55379.59,1215.19,19221.55,Over Exploited
17,Parvathipuram Manyam,29763.31,35032.83,3586.72,23061.67,Over Exploited
18,Prakasam,63974.15,19744.85,1072.98,13544.20,Over Exploited
19,Sri Potti Sriramulu Nellore,68345.39,36991.28,20510.69,71127.23,Over Exploited
20,Sri Sathya Sai,43077.78,31974.68,595.26,44246.68,Over Exploited
21,Srikakulam,34587.38,66648.48,2623.08,28333.77,Over Exploited
22,Tirupati,81366.63,27763.10,87.94,52318.38,Over Exploited
23,Visakhapatnam,7995.13,3262.26,285.34,1078.97,Over Exploited
24,Vizianagaram,24997.08,66545.39,2538.33,48662.74,Over Exploited
25,West Godavari,12011.91,21549.41,235.36,22132.19,Over Exploited
26,Y.S.R Kadapa,57104.54,20117.22,549.87,29473.80,Over Exploited
1,2,3,4,5,6,Safe
1,CHANGLANG,16679.04,4549.92,7569.09,5815.44,Over Exploited
2,EAST KAMENG,8567.56,2631.98,3180.99,3784.03,Over Exploited
3,EAST SIANG,60264.1,4366.95,17483.45,5602.81,Over Exploited
4,LOHIT,63804.4,7648.62,41949.6,9764.9,Over Exploited
5,LOWER DIBANG VALLEY,42860.4,963.08,33884.4,1502.58,Over Exploited
6,LOWER SUBANSIRI,2263.28,1095.09,1442.42,1503.31,Over Exploited
7,PAPUM PARE,8263.74,1432.16,2465.02,1856.88,Over Exploited
8,TIRAP,6078.61,968.18,1784.76,1304.73,Over Exploited
9,UPPER SUBANSIRI,141.52,1067.72,73.65,1468.67,Over Exploited
10,WEST KAMENG,2342.96,381.06,397.31,375.13,Over Exploited
11,WEST SIANG,4445.28,1460.46,916.74,1302.17,Over Exploited
1,2,3,4,5,6,Safe
1,CHANGLANG,16679.04,4549.92,7569.09,5815.44,Over Exploited
2,EAST KAMENG,8567.56,2631.98,3180.99,3784.03,Over Exploited
3,EAST SIANG,60264.1,4366.95,17483.45,5602.81,Over Exploited
4,LOHIT,63804.4,7648.62,41949.6,9764.9,Over Exploited
5,LOWER DIBANG VALLEY,42860.4,963.08,33884.4,1502.58,Over Exploited
6,LOWER SUBANSIRI,2263.28,1095.09,1442.42,1503.31,Over Exploited
7,PAPUM PARE,8263.74,1432.16,2465.02,1856.88,Over Exploited
8,TIRAP,6078.61,968.18,1784.76,1304.73,Over Exploited
9,UPPER SUBANSIRI,141.52,1067.72,73.65,1468.67,Over Exploited
10,WEST KAMENG,2342.96,381.06,397.31,375.13,Over Exploited
11,WEST SIANG,4445.28,1460.46,916.74,1302.17,Over Exploited
1,2,3,4,5,6,Safe
1,BAKSA,108627.73,4189.1,27266.79,6269.21,Over Exploited
2,BARPETA,59076.65,5225.43,22901.18,3527.78,Over Exploited
3,BONGAIGAON,37424.13,2572.17,12847.54,2897.03,Over Exploited
4,CACHAR,64341.73,2250.95,23182.18,2896.86,Over Exploited
5,CHIRANG,83302.01,413.42,25347.61,138.24,Over Exploited
6,DARRANG,41118.91,1500.03,14212.77,1052.21,Over Exploited
7,DHEMAJI,105039.67,302.56,38007,67.08,Safe
8,DHUBRI,82305.99,4417.11,18117.49,5033.08,Over Exploited
9,DIBRUGARH,108809.42,2133.21,37792.02,1121.99,Over Exploited
10,DIMA HASAO,43723.76,144.95,19071.65,18.92,Safe
11,GOALPARA,57216.7,2096.57,19326,2265.11,Over Exploited
12,GOLAGHAT,77427.93,1421.46,29903.35,856.9,Over Exploited
13,HAILAKANDI,19091.47,1478.02,9513.41,340.65,Over Exploited
